platform,text,publishedAt,externalId,imageUrls,,,,,,,,,,,,,,,,
FACEBOOK,"#PorAmorAPuebla | Gracias al #OperativoEnjambre y a la sólida coordinación entre niveles de gobierno, 9 personas fueron detenidas. Reafirmamos cero impunidad y apego a la ley ante cualquier servidor público vinculado a grupos delictivos. #TransformarEnGrande 🤚✅
La justicia y la seguridad ciudadana están por encima de cualquier cargo o responsabilidad. Desde el Gobierno de Puebla colaboramos activamente con la Federación para fortalecer el orden, la paz social y la confianza en nuestras instituciones.🫶✨",,,,,,,,,,,,,,,,,,,
FACEBOOK,"#PorAmorAPuebla | ¡Estamos a solo 4 días de vivir el Grito de Independencia! Preparemos el corazón para dar voz al orgullo de ser mexicanas y mexicanos en este 216 Aniversario de nuestra historia nacional. #FiestasPatriasPuebla #TransformarEnGrande 4️⃣🇲🇽
Unirnos en torno a nuestras tradiciones fortalece la identidad de todo el estado. En el Gobierno de Puebla trabajamos para garantizar festejos seguros y llenos de armonía para que las familias disfruten esta gran conmemoración. 🎉✨",,,,,,,,,,,,,,,,,,,
FACEBOOK,"#PorAmorAPuebla | El coraje y la rápida acción de Luis Enrique salvaron la vida de una pequeña al evitar un atropellamiento. Agradecemos su entrega y vocación de cuidado hacia los demás; personas como él son un orgullo para nuestro estado. #HéroeSinCapa #TransformarEnGrande 🫂✅
Proteger a quienes más lo necesitan refleja la grandeza de nuestro pueblo. En el Gobierno de Puebla reconocemos el heroísmo cotidiano que inspira a construir un entorno más seguro, humano y unido para todas y todos.🫶👧",,,,,,,,,,,,,,,,,,,
FACEBOOK,"#PorAmorAPuebla | El #OperativoEnjambre refrenda el compromiso de combatir la infiltración delictiva. A través de la coordinación institucional, actuamos con apego a la ley para erradicar cualquier vínculo de servidores públicos con la delincuencia. #TransformarEnGrande 🤚✅
Garantizar la tranquilidad de las y los poblanos exige firmeza y transparencia en la función pública. En el Gobierno de Puebla trabajamos sin descanso para proteger las instituciones y asegurar el estado de derecho en toda la entidad. 🫶📈",,,,,,,,,,,,,,,,,,,
FACEBOOK,"📜 #PorAmorAPuebla | La memoria de un héroe, a través de nuestros documentos
Llevamos a cabo el corte de listón e inauguración de la Exposición Documental y Fotográfica “Zaragoza, el de Puebla”, un espacio dedicado a conocer y valorar la memoria histórica de nuestra entidad a través de los documentos y fotografías que resguarda el Archivo General del Estado de Puebla.
Nos honró con su presencia como madrina del corte de listón la Mtra. Gabriela Salas , Titular del Voluntariado de la Secretaría de Gobernación, así como la Mtra. Leslie Aguilar Salas, a quienes agradecemos profundamente su compañía en este significativo momento.
A través de esta exposición, recordamos el traslado de los restos del General Ignacio Zaragoza de la Ciudad de México a Puebla, ocurrido el 4 de mayo de 1976, además de reafirmar la importancia de la preservación de los documentos que nos permiten conocer, comprender y mantener viva nuestra historia.
🏛️ Desde el Archivo General del Estado de Puebla continuamos con la labor para acercar nuestro patrimonio documental a la sociedad y fortalecer el vínculo entre nuestra memoria y las nuevas generaciones.
Porque cada documento guarda una historia y cada historia forma parte de nuestra identidad.
#PorAmorAPuebla #TransformarEnGrande #ArchivoGeneralDelEstadoDePuebla #IgnacioZaragoza #MemoriaHistórica #PatrimonioDocumental #Puebla",,,,,,,,,,,,,,,,,,,
X,"#PorAmorAPuebla | El orgullo de nuestras tradiciones se vive en familia. Festeja con alegría y respeto en estas fechas patrias, disfrutando de la compañía de tus seres queridos en un ambiente armónico y seguro. #ConvivamosEnPaz #TransformarEnGrande 🕊️🎊
Prevenir la violencia es tarea de todas y todos. Desde el @Gob_Puebla recordamos que las líneas 911 de emergencia y 089 para denuncia anónima están disponibles para proteger a la ciudadanía. 🇲🇽🫶",,,,,,,,,,,,,,,,,,,
X,"#PorAmorAPuebla | ¡Estamos a solo 1 día de vivir el Grito de Independencia! La emoción y el orgullo patrio se sienten en cada rincón de nuestro estado para conmemorar el 216 Aniversario de la libertad de México. #FiestasPatriasPuebla #TransformarEnGrande 1️⃣🎊
Celebrar nuestras tradiciones en unión fortalece la convivencia familiar y la identidad que nos une. Desde el @Gob_Puebla invitamos a todas las familias poblanas a ser parte de esta gran fiesta de orgullo nacional. 🇲🇽🫶",,,,,,,,,,,,,,,,,,,
X,"#PorAmorAPuebla | ¡Celebremos el orgullo patrio con música y alegría! Te esperamos este 15 de septiembre a las 23:30 horas en el Zócalo de Puebla para disfrutar del gran concierto de Gloria Trevi en el 216 Aniversario de la Independencia. #FiestasPatriasPuebla 👩‍🎤✨

Disfrutar en unidad de nuestras tradiciones fortalece la convivencia familiar y la identidad de nuestro estado. Desde el 
@Gob_Puebla
 te invitamos a ser parte de esta noche festiva en un entorno seguro y lleno de entusiasmo.🇲🇽🎊 #TransformarEnGrande",,,,,,,,,,,,,,,,,,,
X,"#PorAmorAPuebla ⚔️ Honramos el heroísmo y la entrega de los Niños Héroes de Chapultepec en defensa de la Patria. Compartimos el decreto por el cual sus restos fueron trasladados a un monumento erigido en su honor, como tributo a su lealtad y valentía. 🇲🇽🏰

Desde el 
@Gob_Puebla
 te inviitamos a consultar estos documentos, que forman parte de nuestro acervo histórico correspondiente📜
Fondo documental: Publicaciones Periódicas.
Sección: Diario Oficial.
Páginas: 1 y 2.
Fecha: 28 de octubre de 1947.",,,,,,,,,,,,,,,,,,,
X,"#PorAmorAPuebla | Acompaña el Grito de Independencia este 15 de septiembre a las 22:50 horas en el Zócalo de Puebla. Vive la emoción del 216 Aniversario en comunidad o sigue la transmisión en vivo por SICOM. #FiestasPatriasPuebla #TransformarEnGrande 🇲🇽🎊

Rendir homenaje a la historia nacional fortalece la unidad de nuestras familias. Desde el @Gob_Puebla invitamos a toda la ciudadanía a celebrar los valores de libertad, identidad y orgullo que distinguen a nuestro estado.🫶✨",,,,,,,,,,,,,,,,,,,
X,"#PorAmorAPuebla | Conmemoramos las #FiestasPatriasPuebla rindiendo homenaje a Gertrudis Bocanegra, heroína insurgente que entregó su vida como mensajera y defensora de la libertad de nuestra patria durante la lucha independentista. #TransformarEnGrande 👩⚔️

El valor y la entrega de las mujeres mexicanas son pilares de nuestra historia e identidad nacional. En el @Gob_Puebla celebramos este 216 Aniversario refrendando los valores de unidad, justicia y bienestar para todas y todos. 🇲🇽🎊",,,,,,,,,,,,,,,,,,,
X,"#PorAmorAPuebla 📜 En el Día del Historiador y la Historiadora, reconocemos a quienes dedican su vida a investigar, interpretar y difundir los acontecimientos que nos dan identidad. Su labor crítica convierte el pasado en conocimiento para el presente. 🏛️🔎

Desde el @Gob_Puebla colaboramos con las y los historiadores al resguardar, organizar y poner a su alcance el acervo documental de nuestra entidad. Su trabajo en los archivos mantiene viva la memoria y la verdad de nuestra historia. 🤝📜",,,,,,,,,,,,,,,,,,,
X,"#PorAmorAPuebla | En estas FiestasPatriasPuebla recordamos a José María Morelos y Pavón, estratega militar que consolidó el movimiento insurgente y presentó los Sentimientos de la Nación para forjar un México libre y soberano. #TransformarEnGrande 🇲🇽⚔️

Honrar el legado de nuestros héroes fortalece el compromiso con la justicia y la igualdad. Desde el @Gob_Puebla conmemoramos con profundo orgullo el 216 Aniversario de la Independencia, guiados por los ideales patrios. ✨🫶",,,,,,,,,,,,,,,,,,,
X,"#PorAmorAPuebla 📜 Preservar la memoria comunitaria es preservar nuestra historia.
En atención a la invitación del Ayuntamiento de Papalotla, nuestra titular, @pliego_jes28, asistió a la Ceremonia de Clausura de los “Talleres para Construir las Memorias Comunitarias en Tlaxcala 26

Capítulo Papalotla”, a fin de reforzar los lazos de colaboración municipal y la importancia de la organización y difusión del patrimonio documental.

El encuentro reunió al @AGNMex, al Presidente Municipal Sergio Lara Muñoz, a la Coordinadora del Centro Cultural Roxana Montiel",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
